,Feature,Importance
7021,GAPDH,0.01031836
3716,TGFBI,0.00973655
1938,ANXA5,0.009603352
5920,HCST,0.009310826
5316,CTSC,0.008860198
2914,TUBGCP5,0.008241594
9389,PSME1,0.007304298
9112,ERI1,0.0072423876
9655,ESD,0.007145581
2159,CDC73,0.0070532523
1788,CCT7,0.0067314655
9873,SYNE3,0.006599396
8273,RAD23A,0.006300565
2369,FGD4,0.0062924293
9383,CD19,0.00609954
8443,NFX1,0.006052693
4439,ZNF362,0.0057904352
3096,KIAA1671,0.0056760046
933,ZBTB5,0.005607777
8881,AAGAB,0.005443917
7295,ZNF274,0.005407758
3059,PRKCQ,0.0053208787
6087,CCR7,0.0052352515
9188,SETD5,0.0049722004
7531,TSPAN14,0.0048619113
2382,SLC25A6,0.0048364596
397,AKAP2,0.004795733
5688,SLC39A11,0.0047512385
7897,GUK1,0.0047046253
2650,PRKCH,0.004692448
10070,ZNF394,0.004646337
8039,PMM2,0.004628248
3198,MTPN,0.004621497
7834,VIMP,0.004528957
8377,ABCF1,0.004524473
1445,DGAT1,0.0044914237
2260,SH3BGRL,0.00447135
5277,PREX1,0.004450273
1025,MMAB,0.0043772524
3234,LETM1,0.004366448
5869,PPIB,0.0042571654
3477,PPP4C,0.004151259
7196,RBMX,0.003995024
5408,PSIP1,0.003920201
7476,PCSK5,0.0039086128
6881,XAF1,0.0038880152
620,KMT2C,0.003825428
9747,PAM,0.003817082
9336,IPCEF1,0.0038064194
3286,CMPK1,0.0037499724
8886,SHMT1,0.0037281092
8101,MAP2K3,0.0037119254
491,AMPD2,0.0037034368
1542,RHOG,0.0036585699
4454,RUFY2,0.003554452
1440,CSNK1D,0.0034998478
3895,SUCLG1,0.0034504882
3508,IL15RA,0.0034265348
1111,H2AFZ,0.003414621
5832,IK,0.0033760257
9201,ABI1,0.0033700461
1947,STAT1,0.0033615485
597,C6orf89,0.0033523978
3156,GMIP,0.003343337
4195,SAMD9L,0.0032994775
3381,GZMH,0.0032667767
8569,MIOS,0.0032046954
5557,ACSF3,0.0031703727
9321,SH3BGRL3,0.0031649396
2707,CHST12,0.0031497828
7635,MTA2,0.003130389
4397,WDR54,0.0031198466
5237,TMEM258,0.0031045761
7814,STAT5B,0.0030862815
7975,NDUFA7,0.0030372029
2376,NEK1,0.0029974543
8436,YPEL2,0.002993241
9843,SLC9A8,0.0029789624
6331,PPP1CB,0.002970293
9805,DPYD,0.0029379213
965,ERLEC1,0.0028854285
10064,CD38,0.0028732915
3456,WWP2,0.002833772
466,RBM25,0.0028263566
4689,STIP1,0.0028195588
7861,ALG9,0.0028140128
831,TRIM8,0.0028102372
3165,DEF6,0.0028057836
7327,MZT2A,0.002803281
404,JUNB,0.0027994344
4975,CCL4,0.0027881202
4270,GALNT2,0.0027832408
5714,TSSC1,0.0027806547
1091,BCL2L13,0.0027703282
5927,ITM2A,0.002745333
7228,FEM1B,0.0027389312
5784,LAT,0.0027351242
5423,DNAH1,0.0026804495
1758,ADD1,0.0026654454
9543,CDK2AP2,0.002657415
3635,TTC39B,0.002618379
5296,STIM1,0.0026055109
9519,DNM2,0.0026054138
4896,GSTO1,0.0026029435
8210,CHN1,0.0025882567
9097,UBL7,0.002585778
6199,ORC2,0.0025748166
9064,WASH4P,0.0025363893
2937,SAMSN1,0.0025249938
7507,DTX3L,0.0024973094
3604,SNAP23,0.0024923442
8910,CD55,0.0024706684
9975,BEST1,0.002443776
6504,TPM3,0.0024389469
6206,TTC14,0.0024318506
1448,PRPF8,0.0024305375
5581,CCNL1,0.002398958
