Feature,Importance
CTSC,0.021257656
CD58,0.013489805
CDC73,0.013162474
CCR7,0.011691693
SPSB3,0.011052157
ZNF274,0.009688174
IPCEF1,0.008853696
ZWILCH,0.008404887
BABAM1,0.008107513
SAMSN1,0.007876879
AES,0.0077744713
NFX1,0.007449088
VTI1B,0.0074448776
RBMX,0.007201497
STARD3,0.0071938224
TMOD3,0.0071669915
FCGR3B,0.007141661
RBM27,0.006899459
GZMH,0.006578237
MYO5A,0.006430138
APOL6,0.00635706
C12orf10,0.006356937
TSTD1,0.0062573077
ARPC1B,0.0061440435
ATG12,0.006123925
GAPDH,0.0060280203
RP11-1212A22.4,0.0059873457
ZNF267,0.005982586
TTC14,0.00586149
NAA35,0.005782133
TMEM187,0.005614592
CD19,0.005576884
LAP3,0.0055531287
TBC1D10A,0.005507202
TRRAP,0.0055051493
C20orf112,0.0054364833
PWWP2A,0.0053447513
PLEKHM1,0.005244911
CD8B,0.00508135
HDAC2,0.0050215046
WWP2,0.0050030015
ZFAND6,0.004950243
NDUFB9,0.004916523
LCK,0.0048286268
KIAA1671,0.0047593825
ZBP1,0.0047382424
ARF5,0.004696768
RALY,0.0046188054
SHFM1,0.004594561
CDK11B,0.004518191
PORCN,0.004510856
ZMYM2,0.0044566016
CRTAM,0.004449955
AAK1,0.004407245
GOLGA2,0.004353548
PSMC4,0.004328469
ENO1,0.0043151975
LEF1,0.004305441
RAN,0.004281543
IL15RA,0.004254722
UQCRC2,0.0042488417
HGSNAT,0.0042452
BCL2L1,0.0041358746
SAT1,0.0041278596
CECR1,0.004125744
CREBZF,0.0041227937
MAP2K3,0.0040278723
WARS,0.004001919
C1orf43,0.0039505595
NPM1,0.0038770998
SH3BGRL,0.0038603714
NDUFA1,0.0038320133
WBSCR22,0.0038246082
ERGIC1,0.0038214002
LINC00999,0.003777831
ANXA5,0.0037598207
STRADA,0.0037573695
WDR77,0.0037329104
SOS1,0.0036802797
SH3BGRL3,0.0036444196
FAHD2B,0.0035826839
MAGOHB,0.0035607866
IER2,0.0034651915
RANBP2,0.0034328483
PSME1,0.0034014639
CYSTM1,0.0033868377
YY1,0.0033686664
NARF,0.0033482646
LYSMD2,0.0033047223
PNRC2,0.0032938337
FBXW7,0.003290933
ZNF746,0.0032898232
SRGN,0.0032680414
SLC7A6OS,0.0032421194
ZBTB1,0.0031965324
DCTN5,0.003196387
EIF2S3,0.0031903214
TXNRD2,0.0031734065
ASAP1,0.0031409736
MECP2,0.0031348413
UFM1,0.0030802332
TMEM66,0.0030534754
HIST2H2AA3,0.0030490896
PRPSAP1,0.0030149485
STAT1,0.0030111931
HCST,0.0029705267
DUSP4,0.0029560945
COX16,0.0029460369
UBE2D3,0.0029131216
TERF2IP,0.0029014957
CTBP1,0.002846311
UCP2,0.0028371129
AUTS2,0.002822312
ZAP70,0.0027319817
DDX5,0.0027204128
URM1,0.0027060213
EZH2,0.0026393037
CTAGE5,0.0025874882
HSP90AA1,0.0025573873
USP11,0.0025451072
C10orf54,0.0025338032
KDM2B,0.002529351
DNAJB12,0.002507921
MYO1F,0.0024659599
TRA2A,0.0024552804
CALM3,0.0024529838
NDUFA9,0.0024484666
LPXN,0.00244282
CCL4,0.0024329077
NKG7,0.0024219712
SET,0.0024131902
TRMT112,0.0024004707
HLA-DQB2,0.002392096
XCL2,0.0023918755
NDUFA13,0.0023040033
ZBTB37,0.0022995858
PSMD12,0.0022468588
NLRP1,0.0022445915
ZFP36L2,0.0022412315
CD46,0.0022174574
BIRC2,0.002197201
WDR73,0.0021919094
BTN3A3,0.002191884
GPR108,0.0021312642
PDCD4,0.0021020311
CYBA,0.0020929903
USP9X,0.002088805
TBCA,0.002087882
CSRNP1,0.002082786
ZHX2,0.0020779206
MX1,0.0020643414
NGRN,0.0020547486
ARHGAP26,0.0020042409
HNRNPA1,0.0020036576
SLC35E2,0.001996236
PDK1,0.001987523
RASSF4,0.001973279
CDC26,0.0019687796
VPS4A,0.001951625
EMC7,0.0019483152
UBXN11,0.0019181982
ATP6V0D1,0.0019171763
PSME2,0.0019107427
NRF1,0.0018907868
SLC30A5,0.0018800192
NME1-NME2,0.0018747326
LAPTM5,0.0018689433
OFD1,0.0018240545
ETFDH,0.0018131799
CCL3L3,0.0018105701
SEC62,0.0018087891
ARL16,0.0017948955
REL,0.001791975
FTL,0.0017785614
MARK3,0.0017758779
HPRT1,0.0017723951
CBLB,0.0017689633
YPEL3,0.0017622951
EMB,0.0017529451
EXOC6B,0.0017408531
STRN3,0.0017179233
IL32,0.0017010653
NEMF,0.0016770143
SQRDL,0.0016599208
LCP2,0.0016468851
AHSA1,0.0016411215
PRKACB,0.001620872
CNBP,0.0015888788
RABGGTB,0.0015832968
GSPT1,0.0015809493
IFI6,0.001572674
DNAJC19,0.0015717938
ZNF587,0.001566272
FOXN3,0.0015586488
ARHGAP4,0.0015496456
CFLAR,0.001543472
ZNF43,0.001542443
SSR4,0.0015408571
TMSB10,0.0015333995
IER3IP1,0.0015204425
CCNDBP1,0.0014764612
TIMM10,0.0014746924
C3AR1,0.0014734454
HLA-B,0.0014426704
VPS53,0.0014409184
YIPF4,0.0014326688
GPCPD1,0.0014207168
CCNK,0.0014190673
STK10,0.0014154287
ITGA4,0.0014009337
DRAP1,0.0013973998
IFITM2,0.0013959659
LITAF,0.0013944549
MYCBP2,0.0013901037
XAF1,0.0013892215
AL592284.1,0.0013847261
LRMP,0.0013794327
IQGAP1,0.001375998
HIST2H2AA4,0.0013692527
CNOT6L,0.0013617803
ERAP2,0.0013603292
PARK7,0.0013583136
HAT1,0.0013542438
ATXN1,0.0013461489
UBE3A,0.0013421775
SPAG4,0.0013392135
NR4A1,0.0013278007
NUPL2,0.0013115394
CCND2,0.0013064184
ACAP1,0.001299521
SAMHD1,0.0012983694
UBASH3B,0.0012637764
CD74,0.0012628298
UBE2F,0.0012598489
GNG2,0.0012517306
RBM8A,0.0012421071
NAMPTL,0.0012372374
USP32,0.0012216117
TMEM258,0.0012166048
MED14,0.0012147209
SPDYE3,0.0012128735
ABCA7,0.0012040494
EIF3G,0.0012027265
HIGD2A,0.0011979042
LENG1,0.001183781
TRAPPC2,0.001182146
ADCY7,0.0011786361
NUP37,0.0011708491
TMEM259,0.0011679984
SMPD4,0.0011349474
OASL,0.0011284188
SPTLC1,0.0011244703
SLC39A11,0.0011240664
ANXA2,0.001108671
MGEA5,0.0010954023
AEBP2,0.0010952397
B2M,0.0010949123
USF1,0.0010888695
PFN1,0.0010765479
HSD17B10,0.001060152
UNC45A,0.0010595946
SLC2A14,0.0010561238
THRAP3,0.001050995
C2orf68,0.0010498664
ALOX5AP,0.0010475017
PKM,0.0010307375
MAP4K1,0.0010190377
NAA16,0.0010163642
PTPN7,0.0010152985
NIPA2,0.0010146518
NIPBL,0.00100303
CD53,0.0010012094
PDIA4,0.0009931383
NR4A2,0.0009925909
PMM2,0.0009920412
MYADM,0.000991646
H3F3B,0.0009908809
CNST,0.0009784136
MSN,0.00097048905
APEH,0.0009612026
CASC3,0.00095053314
SRP14,0.00094507565
ARL6IP4,0.00094452046
TMEM39A,0.00094374234
CBX5,0.00094280846
FGD3,0.00093578344
ERO1L,0.00093525654
AGK,0.0009253188
DDX18,0.0009246397
NCKAP1L,0.0009206327
ZNF280D,0.00090827973
FOS,0.00089790294
MTF2,0.0008920066
INTS4,0.00088784745
NBPF11,0.0008825443
PDLIM2,0.00086653064
CYTH1,0.00086427236
DOCK8,0.00086351373
CLIC1,0.0008585557
YPEL5,0.00085720874
VPS13C,0.0008561486
FNBP1,0.0008484498
CHORDC1,0.00083584606
SAR1B,0.000832307
CDC42,0.0008315715
CSNK1D,0.0008217102
KARS,0.00081704085
MFF,0.0008157304
RNF4,0.0008143946
FLNA,0.0008142465
NGLY1,0.0007938898
PMF1,0.00079368235
SH2D2A,0.00079284783
VPS54,0.0007847056
FOXP1,0.0007646392
ARCN1,0.00074904575
RIOK3,0.00074784865
TRAF3IP3,0.00074703235
HNRNPD,0.00074138015
USP8,0.0007373983
MEF2BNB,0.0007357911
HNRNPL,0.00073012896
